country,feature1,feature2,feature3
BOL,gente,tuto,baterías
COL,sociedad,social,universal
CRI,restauración,pac,ciudadana
ECU,ecuatorianos,ecuador,desarrollo
CHL,chile,sistema,afrontar
PAN,ministerio,público,buscaremos
URY,social,desarrollo,estratégicas
DOM,moderno,gente,ciudadano
MEX,partido,morena,neoliberal
PER,problema,estratégica,lineamiento
